Short reference,Reference,URL
Tingley and LaPointe (1999),"Tingley, J.V., and LaPointe, D.D., 1999, Metals, in The Nevada mineral industry 1998: Nevada Bureau of Mines and Geology Special Publication MI-1998, p. 10–22.",
Trace and Amos (1984),"Trace, R.D, and Amos, D.H., 1984, Stratigraphy and structure of the western Kentucky fluorspar district: U.S. Geological Survey Professional Paper 1151-D, 41 p.",https://pubs.er.usgs.gov/publication/pp1151D
Tribe (2011),"Tribe, N., 2011, NI [Canadian National Instrument] 43-101mineral resource evaluation report on the Artillery Mountain manganese property, Mohave County, Arizona, U.S.A.: Surrey, British Columbia, Canada, American Manganese Inc., prepared by N. Tribe & Associates Ltd, Kelowna, British Columbia, Canada, 334 p.",
U.S. Geological Survey (1996),"U.S. Geological Survey, 1996, Alaska Resource Data File, (ver 1.7, March, 2018): U.S. Geological Survey data release, https://doi.org/10.5066/P96MMRFD.",https://ardf.wr.usgs.gov/
U.S. Geological Survey (2022),"U.S. Geological Survey, 2022, 2022 Final List of Critical Minerals: Federal Register, v. 87 FR 10381, accessed May 31, 2023, at https://www.federalregister.gov/documents/2022/02/24/2022-04027/2022-final-list-of-critical-minerals.",https://www.federalregister.gov/documents/2022/02/24/2022-04027/2022-final-list-of-critical-minerals
Ullmer and Bentzen (2016),"Ullmer, E., and Bentzen, E.H., III, 2016. NI [Canadian National Instrument] phase II technical report for the Bisoni McKay vanadium property, Nye county, Nevada: Richmond, British Columbia, Canada, Stina Resources Ltd., prepared by E. Ullmer, Westminster, Colorado, and E.H. Bentzen, III, Wheat Ridge, Colorado, 121 p.",
USMIN (2022),"U.S. Geological Survey, 2022, U.S. Mineral Deposit Database (USMIN): Reston, Virginia, https://mrdata.usgs.gov/deposit/.",https://mrdata.usgs.gov/deposit/
van Angeren (2013),"van Angeren, P., 2013, Boss project, Goodsprings mining district, Clark Cunty, Nevada, USA: Geological assessment and exploration proposal (2013/14) for the Boss project: Report for Boxxer Gold Corp., Calgary, AB, 78 p.",
Van Gosen and Choate (2021),"Van Gosen, B.S., and Choate, L.M., 2021, Reconnaissance study of the major and trace element content of bauxite deposits in the Arkansas bauxite region, Saline and Pulaski Counties, central Arkansas: U.S. Geological Survey Open-File Report 2021–1073, 18 p., https://doi.org/10.3133/ofr20211073.",https://doi.org/10.3133/ofr20211073
Van Gosen and Ellefsen (2018),"Van Gosen, B.S., and Ellefsen, K.J., 2018, Titanium mineral resources in heavy-mineral sands in the Atlantic Coastal Plain of the southeastern United States: U.S. Geological Survey Scientific Investigations Report 2018–5045, 32 p., https://doi.org/10.3133/sir20185045.",https://doi.org/10.3133/sir20185045
Vikre and others (2023),"Vikre, P., John, D., Wintzer, N.E., Koutz, F., Graybeal, F., Dail, C., and Annis, D.C., 2023, Critical minerals in 
subduction-related magmatic-hydrothermal systems of the United States: U.S. Geological Survey Scientific 
Investigations Report 2023–5082, 110 p., https://doi.org/ 10.3133/ sir20235082.",https://pubs.usgs.gov/sir/2023/5082/sir20235082.pdf
Visher and Patterson (2022),"Visher, M., and Patterson, L., 2022, Major mines of Nevada 2021: Nevada Bureau of Mines and Geology Special Publication P-33, 34 p., accessed May 15, 2023, at https://minerals.nv.gov/uploadedFiles/mineralsnvgov/content/Programs/Mining/MiningForms/MM2021_Major_Mines_2021.pdf.",https://minerals.nv.gov/uploadedFiles/mineralsnvgov/content/Programs/Mining/MiningForms/MM2021_Major_Mines_2021.pdf
Vitaliano (1951),"Vitaliano, C.J., 1951, Magnesium-mineral resources of the Currant Creek district, Nevada: U.S. Geological Survey Bulletin 978-A, 34 p., plate 1, scale 1:63,360.",https://pubs.er.usgs.gov/publication/b978A
Warner (1985),"Warner, J.D, 1985, Critical and strategic minerals in Alaska, tin, tantalum, and columbium: Bureau of Mines Information Circular 9037, 24 p.",https://dggs.alaska.gov/pubs/id/21284
Warner (1989),"Warner, J.D., 1989, Columbium-, rare-earth element-, and thorium-bearing veins near Salmon Bay, southeastern Alaska: U.S. Bureau of Mines Open-File Report 6-89, 25 p.",https://dggs.alaska.gov/pubs/id/21317
Warner and others (1988),"Warner, J.D., Dahlin, D.C., and Brown, L.L, 1988, Tin cccurrences near Rocky Mountain (Lime Peak), East-Central Alaska: U.S. Bureau of Mines Information Circular 9180, 29 p.",https://dggs.alaska.gov/webpubs/usbm/ic/text/ic9180.pdf
Warren and Clark (1965),"Warren, W.C., and Clark, L.D., 1965, Bauxite deposits of the Eufaula district, Alabama: U.S. Geological Survey Bulletin 1199-E, 38 p., https://pubs.er.usgs.gov/publication/b1199E.",https://pubs.er.usgs.gov/publication/b1199E
Warren and others (1965),"Warren, W.C., Bridge, J., and Overstreet, E.C.F., 1965, Bauxite deposits of Virginia: U.S. Geological Survey Bulletin 1199-K, 17 p., https://pubs.er.usgs.gov/publication/b1199K.",https://pubs.er.usgs.gov/publication/b1199K
Warren and others (2021),"Warren, D., Methven, G., Malhotra, D., Vatterrodt, D., Peacock, B., and Hastings, M., 2021, NI [Canadian National Instrument] 43-101 technical report Empire State Mines (amended): Vancouver, British Columbia, Canada, Titan Mining Corporation, prepared by AMC Mining Consultants, Vancouver, British Columbia, Canada, 225 p.",
Weber (1965),"Weber, R.H., 1965, Nickel and cobalt, in Mineral and water resources of New Mexico: New Mexico Bureau of Mines and Mineral Resources Bulletin 87, p. 207–209.",
Weissenborn and Mallery (1944),"Weissenborn, A.E., and Mallery, J.H., 1944, Ore reserves at the Navajo fluorspar mines near Grants, Valencia County, New Mexico: U.S. Geological Survey Open-File Report 44-4, 18 p.",https://pubs.er.usgs.gov/publication/ofr444
Welhener and Crowie (2022),"Welhener, H.E., and Crowie, S.T., 2022, NI [Canadian National Instrument] 43-101F1 technical report mineral resource statement Mesaba Project, St. Louis County, Minnesota: St. Paul, Minnesota, PolyMet Mining, prepared by Independent Mining Consultants, Inc., Tucson, Arizona, 141 p.",
Wells and others (1946),"Wells, F.G., Cater, F.W., Jr., and Rynearson, G.A., 1946, Chromite deposits of Del Norte County, California, Chap. 1 of Klamath Mountains, Pt. 1 of Geological investigations of chromite in California: California Department of Natural Resources, Division of Mines Bulletin 134, 76 p.",
Wells and others (1949),"Wells, F.G., Smith, C.T., Rynearson, G.H., and Livermore, J.S., 1949, Chromite deposits near Seiad and McGuffy Creeks, Siskiyou County, California: U.S. Geological Survey Bulletin 948-B, p. 19–62.",https://pubs.usgs.gov/bul/0948b/report.pdf
Wetzel (1986),"Wetzel, N., 1986, Chromium resources in the conterminous United States: Chromium-chromite: U.S. Bureau of Mines Assessment and Research: Proceedings of Bureau of Mines Briefing, Corvallis, Ore., June 4-5, 1985, p. 31–41.",
White Rock Mineral Ltd (2022),"White Rock Minerals Ltd, 2022, Significant increase in zinc-silver resources, Red Mountain VMS project, Alaska: White Rock Minerals Ltd press release dated February 17, 2022, accessed February 26, 2023, at https://wcsecure.weblink.com.au/pdf/WRM/02487782.pdf.",
Williams and others (1964),"Williams, F.E., Fillo, P.V., and Bloom, P.A., 1964, Barite deposits of New Mexico: U.S. Bureau of Mines Circular 76, 46 p.",
Wilson and others (2022),"Wilson, S., Todd, R., and Kondos, P., 2022, NI [ Canadian National Instrument] 43-101 technical report and pre-feasibility study for underground mining, million and concentration of lead, silver, and zinc at the Bunker Hill mine, Coeur d'Alene mining district, Shoshone County, Idaho, USA: Toronto, Ontario, Canada, Bunker Hill Mining Company, prepared by Resource Development Associates, Highland Ranch, Colorado, 213 p.",
Winckers and others (2013),"Winckers, A.H., Darling, G., Stoyko, H.W., Huang, J., Brouwer, K., Kirk, L., Lechner, M.J., and Hafez, S.A., 2013, NI [Canadian National Instrument] 43-101 technical report and preliminary economic assessment for the Black Butte Copper Project, Montana: White Sulfur Springs, Montana, Tintina Resources, prepared by Tetra Tech Wardrop, Vancouver, British Columbia, Canada, 312 p., accessed March 24, 2021 at http://www.sandfireamerica.com/assets/docs/library/Black-Butte-Copper-1191880200-REP-R0001-01-20190318070031.pdf.",http://www.sandfireamerica.com/assets/docs/library/Black-Butte-Copper-1191880200-REP-R0001-01-20190318070031.pdf
Winters (1968),"Winters, A.S., 1968, Geology and ore deposits of the Castle Mountain mining district Meagher County, Montana: Montana Bureau of Mines and Geology, Bulletin 64, 64 p.",
Woodruff and others (2013),"Woodruff, L.G., Nicholson, S.W., and Fey, D.L., 2013, A deposit model for magmatic iron-titanium-oxide deposits related to Proterozoic massif anorthosite plutonic suites: U.S. Geological Survey Scientific Investigations Report 2010-5070-K, 47 p., http://pubs.usgs.gov/sir/2010/5070/k.",http://pubs.usgs.gov/sir/2010/5070/k
Zanko and others (1994),"Zanko, L.M., Severson, M.J., and Ripley, E.M., 1994, Geology and mineralization of the Serpentine copper-nickel deposit: Technical report NRRI/TR-93/52 funded by the Minnesota Mining and Mineral Resources Research Institute, 99 p., accessed June 14,2023, at https://conservancy.umn.edu/handle/11299/18852.1.",https://conservancy.umn.edu/handle/11299/18852.1
Zapp (1965),"Zapp, A.D., 1965, Bauxite deposits of the Andersonville district, Georgia: U.S. Geological Survey Bulletin 1199-G, 46 p., https://pubs.er.usgs.gov/publication/b1199G.",https://pubs.er.usgs.gov/publication/b1199G
Zenith Minerals (2019),"Zenith Minerals, 2019, Burro Creek—East Lithium Clay Project update: Zenith Minerals ASX press release dated August 12, 2019, 19 p.",
Zientek (1993),"Zientek, M.L., 1993, Mineral resource appraisal for locatable minerals The Stillwater Complex [chapter F], in Hammarstrom, J.M., Zientek, M.L, and Elliott, J.E., eds., Mineral resource assessment of the Absaroka-Beartooth study area, Custer and Gallatin National Forests, Montana: U.S. Geological Survey Open-File Report 93-207, p. F1–F83.",https://pubs.er.usgs.gov/publication/ofr93207
Zientek and Parks (2014),"Zientek, M.L., and Parks, H.L., 2014, A geologic and mineral exploration spatial database for the Stillwater Complex, Montana: U.S. Geological Survey Scientific Investigations Report 2014-5183, 28 p.",http://pubs.er.usgs.gov/publication/sir20145183
